trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,06:21:00,06:21:00,8029034,1
1,06:39:00,06:40:00,8029009,2
1,07:16:00,07:17:00,8014021,3
1,08:03:00,08:04:00,8011336,4
1,08:27:00,08:30:00,8011065,5
1,08:41:00,08:42:00,8011051,6
1,09:22:00,09:23:00,8005637,7
1,09:58:00,09:59:00,8005365,8
1,10:19:00,10:20:00,8013050,9
1,11:12:00,11:15:00,8013552,10
1,11:47:00,11:48:00,8013017,11
1,12:58:00,12:59:00,8003036,12
1,13:05:00,13:06:00,8065969,13
1,13:17:00,13:18:00,8003004,14
1,13:32:00,13:32:00,8003231,15
2,14:28:00,14:28:00,8003231,1
2,14:41:00,14:42:00,8003004,2
2,14:53:00,14:54:00,8065969,3
2,15:00:00,15:01:00,8003036,4
2,16:10:00,16:11:00,8013017,5
2,16:43:00,16:46:00,8013552,6
2,17:41:00,17:42:00,8013050,7
2,18:03:00,18:04:00,8005365,8
2,18:39:00,18:40:00,8005637,9
2,19:19:00,19:20:00,8011051,10
2,19:35:00,19:37:00,8011065,11
2,19:53:00,19:54:00,8011336,12
2,20:31:00,20:33:00,8014021,13
2,21:02:00,21:03:00,8029009,14
2,21:20:00,21:20:00,8029034,15
